음식,열량
김치찌개(05)(06)(10)(16),79.23
김치찌개(05)(09)(10),72.08
김치찌개(05)(09)(10)(18),132.07
김치찌개(05)(10),57.91
김치찌개(05)(10)(16),96.39
김치찌개(기타)(05)(06)(10),137.16
김치찌개(기타)(06)(10),128.99
김치찐만두(05)(06)(10),164.47
까르보나라떡볶이(05)(06)(10),269.22
까르보나라떡볶이(10),283.11
깍두기(다수공급자),0.0
깍두기(다수공급자)(09),13.3
깍두기(수의계약)(09),13.3
깍두기(완제품)(09),13.3
깍두기(임가공),28.59
깍두기김치볶음밥,382.5
깍두기김치볶음밥(16),500.0
깐계란(01),2500.0
깐쇼새우,26.2
깐쇼새우(01),352.25
깐쇼새우(01)(02)(05)(06)(09)(12),557.84
깐쇼새우(05)(06),25.47
깐쇼새우(05)(06)(09),349.47
깐쇼새우(05)(06)(09)(12),556.13
깐쇼새우(05)(06)(12),348.1
깐풍기,542.51
깐풍기(01)(05)(06)(15),324.82
깐풍기(05)(06)(15),397.77
깐풍새우(05)(06)(09),397.7
깻잎무침(05)(06),31.57
깻잎순무침(05),34.79
깻잎양념무침,32.61
깻잎양념무침(05)(06),46.6
깻잎육전(05)(06),177.63
꼬꼬떡국(01)(02)(05)(15)(16),442.22
꼬꼬떡국(05)(15),268.37
꼬리곰탕,546.51
꼬막비빔밥,422.65
꼬막비빔밥(05)(06),484.32
꼬막비빔밥(05)(06)(18),57.52
꼬치어묵국(05)(06),167.59
꼬치어묵국(05)(06)(09),293.08
꼬치어묵국(06),148.88
꽁치김치조림(05)(06),104.28
꽃게탕(05),54.31
꽃게탕(05)(06),76.59
꽃게탕(05)(08)(09),50.19
꽃게탕(05)(09),121.73
꽃게탕(05)(09)(16),66.25
꽃게탕(05)(18),78.7
꽃게탕(08)(09),42.28
꽃맛살샐러드(01)(08),125.22
꽈리고추멸치볶음,142.54
꽈배기(01)(02)(05)(06),465.84
나가사끼짬뽕(05)(06)(08)(09)(10)(15)(16)(17)(18),510.14
나가사끼짬뽕(05)(06)(08)(10)(15)(16)(17)(18),389.89
나가사끼짬뽕(06)(17),735.14
나가사끼짬뽕(17),240.14
나가사끼짬뽕국(05)(06)(09)(10)(17)(18),168.36
나시고랭볶음밥(완),660.0
나시고랭볶음밥(완)(01)(02)(05)(06)(08)(09)(10)(15)(16)(17)(18),105.0
나시고랭볶음밥(완)(01)(05)(08)(09),200.0
나시고랭새우볶음밥(01)(02)(05)(06)(08)(09)(10)(15)(16)(17)(18),280.0
나주곰탕(01)(02)(05)(06)(15)(16)(18),257.11
나쵸&소스,140.0
낙지덮밥,689.7
낙지볶음,262.51
낙지볶음(05)(06),143.91
낙지볶음(05)(06)(17),212.35
낙지볶음(06),410.17
낙지젓,35.99
낙지젓(17),42.29
날치알계란찜(01),103.09
날치알김가루주먹밥(05),326.99
날치알김치덮밥(05)(08),333.01
날치알김치덮밥(08),2283.41
날치알볶음밥(01)(05)(06),393.99
날치알주먹밥(01)(05)(13),492.65
"남양유업,과수원사과,190ml",46.0
"남양유업,과수원청포도,190ml",84.51
납작만두,27.63
냉모밀,6.77
냉모밀(03),490.05
냉모밀(06),702.67
냉우동(01)(05)(06),545.21
냉이국(05)(06),103.66
냉이된장국(05)(06)(18),38.69
냉이된장국(05)(18),78.2
냉채족발(05)(06)(10)(13),423.7
냉채족발(10)(13),398.12
너비아니(05)(06)(10)(16),256.14
녹두백숙(15),936.0
녹두전,50.28
"농심,카프리썬사과,200ml",60.0
"농심,카프리썬오렌지,200ml",60.0
농후 발효유(02),192.0
누룽지삼계탕,2226.4
누룽지삼계탕(15),585.0
누룽지탕,51.8
뉴욕핫도그(01)(02)(05)(06)(10)(12)(13)(16),1094.11
뉴욕핫도그(01)(02)(05)(06)(10)(12)(15),464.12
뉴욕핫도그(01)(02)(05)(06)(10)(12)(15)(16)(18),469.04
뉴욕핫도그(01)(02)(05)(06)(10)(12)(16),640.15
느타리버섯볶음,58.15
느타리버섯볶음(05),82.46
느타리버섯볶음(05)(06)(16),85.12
느타리버섯볶음(05)(16),90.76
느타리버섯볶음(16),63.84
단감,51.0
단감(상품),51.0
단무지무침,11.16
단무지무침(05)(06),13.49
단무지무침(05)(06)(13),14.93
단무지무침(13),16.05
단호박샐러드,13.86
단호박샐러드(01),77.69
단호박죽,221.49
단호박크림스프(02)(05)(06)(15),156.0
단호박튀김,208.13
단호박튀김(06),205.01
달걀케첩볶음밥(01),452.45
달걀케첩볶음밥(01)(05),523.8
달걀케첩볶음밥(01)(05)(06)(12)(18),562.5
달걀케첩볶음밥(01)(05)(12),505.07
달걀케첩볶음밥(01)(05)(12)(18),434.3
달걀케첩볶음밥(01)(12),555.47
달걀케첩볶음밥(01)(12)(18),566.47
달걀케첩볶음밥(01)(18),317.15
달래된장국(05)(06),71.39
달래무침(05)(06),55.55
달래사과무침,36.98
달콤한베지밀비 190ml,39.5
닭가슴살샐러드(01)(05)(06)(12)(15)(16)(18),399.48
닭가슴살소시지,0.0
닭가슴살소시지(02)(05)(15)(16),84.0
닭가슴살스테이크,272.0
닭가슴살스테이크(05),288.2
닭갈비(02)(05)(06)(15),447.97
닭갈비(05)(06)(15),287.97
닭갈비(05)(06)(15)(16),222.03
닭갈비(15),227.74
닭강정(05)(06)(12)(15),375.44
닭강정(05)(06)(15),3354.97
닭강정(10),670.51
닭강정(완제품)(01)(05)(06)(15),792.11
닭고기김치찜(06)(15),252.54
닭고기김치찜(09)(15)(18),250.88
닭고기김치찜(15),220.17
닭고기덮밥(01)(05)(06)(15),179.76
닭고기덮밥(01)(15),258.03
닭고기매운조림(05)(06)(15),335.23
닭고기부추밥(06)(15),693.23
닭고기오이냉채,122.62
닭고기육개장(01)(05)(06)(15),204.15
닭고기육개장(01)(05)(15),169.78
닭고기육개장(01)(05)(15)(16),235.83
닭고기육개장(01)(15)(16),235.83
닭고기튀김양념(05)(06)(15),594.54
닭곰탕(02)(15)(16),248.8
닭곰탕(15),135.96
닭곰탕(15)(16),224.7
닭꼬치(완),112.5
닭꼬치(완)(05),170.75
닭꼬치(완)(05)(06)(13)(15),336.0
닭꼬치(완)(05)(06)(15),203.2
닭다리스테이크,875.0
닭볶음탕(05)(15),436.46
닭볶음탕(06)(15),352.03
닭볶음탕(15),287.99
닭순살샐러드(01)(12)(15),211.94
닭순살샐러드(01)(15),150.02
닭순살야채볶음(05)(06)(15)(18),142.04
닭스테이크(02)(05)(06)(12)(15)(16),365.5
닭스테이크(12),803.0
닭장각구이,0.0
닭장각구이(15),273.6
닭장각짬뽕탕(05)(06)(09)(18),306.86
닭죽(02)(15)(16),438.15
닭죽(15),490.01
닭죽장각삼계탕(02)(15)(16),463.68
닭칼국수(02)(05)(06)(15)(16),467.99
닭칼국수(05)(06),27.97
닭칼국수(05)(06)(15),167.62
닭칼국수(15),155.27
당면고추장찌개(05)(06)(09)(10),118.49
당면고추장찌개(09)(10),176.18
대구매운탕(05),67.9
대구매운탕(05)(06),102.17
대만샌드위치(01)(02)(05)(06)(10)(15)(16)(18),365.2
대만식샌드위치(완)(01)(02)(05)(06)(10)(15)(16)(18),218.4
대왕오징어튀김(01)(06),210.48
대왕오징어튀김(06),234.76
대추방울토마토(비생산기)(12),8.5
대추방울토마토(생산기)(12),12.75
대패삼겹김치파스타(05)(06)(10)(18),748.2
대패삼겹살볶음(05)(06)(10)(18),369.83
대패삼겹살소시지구이(02)(05)(06)(10)(12)(16),713.8
대패삼겹살소시지구이(05)(10),577.4
대패삼겹살소시지구이(10),604.09
더블치즈스테이크버거(01)(02)(12),172.54
데리야끼갈릭치킨(02)(05)(06)(12)(15)(16)(18),544.23
데리야끼갈릭치킨(05)(06)(15),490.23
데리야끼갈릭치킨(06)(15),485.25
데리야끼삼겹살덮밥(05)(06)(10),808.21
데리야끼삼겹살덮밥(10),859.77
데리야끼장어덮밥(05)(06),398.93
도가니탕(완),273.6
도토리냉국,31.06
도토리묵&양념장(05)(06),29.04
도토리묵국(01)(05)(06),95.62
도토리묵국(01)(05)(06)(09),71.84
도토리묵무침,46.66
도토리묵사발(01),71.62
돈가스,414.06
돈가스(01)(05)(06)(10),756.5
돈가스(01)(05)(06)(10)(12)(16)(18),732.5
돈가스(05)(06)(10),487.9
돈가스(06)(10),414.06
돈마호크(02)(05)(10)(12),416.83
돈마호크(05)(10)(12),292.38
돈육굴소스양배추볶음(10),164.07
돈육연탄불고기 (05)(06)(10),215.41
돈육연탄불고기(05)(06)(10),215.41
돈코츠라멘(01),625.77
돈코츠라멘(01)(02)(05)(06)(10),479.68
돈코츠라멘(01)(05)(06)(10),1016.45
돈코츠라멘(01)(05)(06)(10)(16),829.45
돈코츠라멘(05)(06)(10),223.09
돈코츠라멘(05)(10),135.9
돈파육(05)(06)(10),415.97
동그랑땡,280.25
동그랑땡(01)(05)(06)(10)(12),368.6
동그랑땡(05)(06)(10)(12),225.85
동그랑땡(12),401.44
동그랑땡(완제품),11.5
동그랑땡(완제품)(01)(05)(06)(10)(12),204.1
동태전(완제품)(01)(05)(06),175.0
동파육(18),275.9
돼지갈비찜,16.53
돼지갈비찜(05)(06)(10),367.45
돼지고기가지볶음(05)(06)(10),161.21
돼지고기감자조림(05)(06)(10),341.93
돼지고기고추장찌개(05)(06)(10),124.86
돼지고기김치볶음(05)(10),154.65
돼지고기김치볶음(06)(10),261.28
돼지고기김치볶음(09)(10)(18),233.22
돼지고기김치볶음(10),216.57
돼지고기김치볶음O564:쇠고기(캔)야채조림대(06)(10),260.56
돼지고기덮밥(05)(06)(10)(18),589.47
돼지고기덮밥(10)(18),607.3
돼지고기덮밥(부타동)(01)(05)(06)(10)(12),796.21
돼지고기덮밥(부타동)(01)(05)(06)(10)(12)(15)(18),778.18
