날짜,음식,식사유형
2024-12-27(금),콩나물무채국,조식
2024-12-27(금),마파두부,조식
2024-12-27(금),시금치무침,조식
2024-12-27(금),배추김치,조식
2024-12-28(토),햄치즈버거,조식
2024-12-28(토),백색우유,조식
2024-12-28(토),시리얼,조식
2024-12-28(토),양파찹&소스,조식
2024-12-29(일),밥,조식
2024-12-29(일),닭곰탕,조식
2024-12-29(일),돼지고기청경채볶음,조식
2024-12-29(일),콩나물무침,조식
2024-12-29(일),배추김치,조식
2024-12-30(월),밥,조식
2024-12-30(월),두부된장찌개,조식
2024-12-30(월),쇠고기감자조림,조식
2024-12-30(월),상추겉절이,조식
2024-12-01(일),닭고기미역국,조식
2024-12-01(일),비엔나소시지케찹볶음,조식
2024-12-01(일),상추겉절이,조식
2024-12-01(일),배추김치,조식
2024-12-02(월),밥,조식
2024-12-02(월),콩나물국,조식
2024-12-02(월),달콤돼지고기볶음,조식
2024-12-02(월),부추겉절이,조식
2024-12-02(월),김,조식
2024-12-02(월),배추김치,조식
2024-12-03(화),밥,조식
2024-12-03(화),황태채국,조식
2024-12-03(화),쇠고기장조림,조식
2024-12-03(화),오이무침,조식
2024-12-03(화),배추김치,조식
2024-12-04(수),밥,조식
2024-12-04(수),돼지고기김치찌개,조식
2024-12-04(수),언양식바싹불고기,조식
2024-12-04(수),콩나물무침,조식
2024-12-04(수),백색우유,조식
2024-12-04(수),깍두기,조식
2024-12-05(목),밥,조식
2024-12-05(목),오징어국,조식
2024-12-05(목),닭고기야채조림,조식
2024-12-05(목),무생채,조식
2024-12-05(목),배추김치,조식
2024-12-06(금),밥,조식
2024-12-06(금),쇠고기무국,조식
2024-12-06(금),어묵볶음,조식
2024-12-06(금),브로콜리깨소금무침,조식
2024-12-06(금),김,조식
2024-12-06(금),백색우유,조식
2024-12-06(금),배추김치,조식
2024-12-07(토),불고기버거,조식
2024-12-07(토),시리얼,조식
2024-12-07(토),백색우유,조식
2024-12-08(일),밥,조식
2024-12-08(일),닭고기미역국,조식
2024-12-08(일),마파감자,조식
2024-12-08(일),오이무침,조식
2024-12-08(일),백색우유,조식
2024-12-08(일),배추김치,조식
2024-12-09(월),밥,조식
2024-12-09(월),황태채국,조식
2024-12-09(월),애호박나물,조식
2024-12-09(월),비엔나소시지케찹볶음,조식
2024-12-09(월),김자반,조식
2024-12-09(월),백색우유,조식
2024-12-09(월),배추김치,조식
2024-12-10(화),밥,조식
2024-12-10(화),햄감자찌개,조식
2024-12-10(화),멸치볶음,조식
2024-12-10(화),돼지고기자장볶음,조식
2024-12-10(화),배추김치,조식
2024-12-11(수),밥,조식
2024-12-11(수),닭고기육개장,조식
2024-12-11(수),감자채볶음,조식
2024-12-11(수),계란말이,조식
2024-12-11(수),백색우유,조식
2024-12-11(수),배추김치,조식
2024-12-12(목),밥,조식
2024-12-12(목),패주미역국,조식
2024-12-12(목),고구마함박스테이크,조식
2024-12-12(목),계란장조림,조식
2024-12-12(목),배추김치,조식
2024-12-13(금),밥,조식
2024-12-13(금),콩나물국,조식
2024-12-13(금),비엔나소시지감자조림,조식
2024-12-13(금),피자오믈렛,조식
2024-12-13(금),백색우유,조식
2024-12-13(금),배추김치,조식
2024-12-14(토),핫도그빵,조식
2024-12-14(토),스크램블에그,조식
2024-12-14(토),양배추샐러드,조식
2024-12-14(토),시리얼,조식
2024-12-14(토),백색우유,조식
2024-12-15(일),밥,조식
2024-12-15(일),사골미역국,조식
2024-12-15(일),오징어볶음,조식
2024-12-15(일),콩나물무침,조식
2024-09-15(일),배추김치,조식
2024-09-14(토),스크램블에그,조식
2024-09-14(토),시리얼,조식
