날짜,음식,식사유형
2022-08-19,배추김치,조식
2022-08-19,우유,조식
2022-08-20,햄치즈버거,조식
2022-08-20,치즈볼,조식
2022-08-20,우유,조식
2022-08-21,밥,조식
2022-08-21,황태해장국,조식
2022-08-21,계란말이,조식
2022-08-21,떡갈비스테이크,조식
2022-08-21,브리또,조식
2022-08-16,밥,조식
2022-08-15,우유,조식
2021-02-04,오징어젓무침,조식
2021-02-04,김장김치,조식
2021-02-04,우유,조식
2021-02-05,밥,조식
2021-02-05,시금치된장국,조식
2021-02-05,돼지고기김치볶음,조식
2021-02-05,맛김,조식
2021-02-05,과일1,조식
2021-02-05,깍두기,조식
2021-02-06,불고기버거,조식
2021-02-06,우유,조식
2021-02-07,밥,조식
2021-02-07,북어채국,조식
2021-02-07,새송이버섯야채볶음,조식
2021-02-07,맛김,조식
2021-02-07,김장김치,조식
2021-02-07,우유,조식
2021-02-08,밥,조식
2021-02-08,꼬리곰탕,조식
2021-02-08,감자채볶음,조식
2021-02-08,순두부양념장,조식
2021-02-08,김장김치,조식
2021-02-08,우유 살균형,조식
2021-02-09,밥,조식
2021-02-09,콩나물국,조식
2021-02-09,돼지고기부추볶음,조식
2021-02-09,맛김,조식
2021-02-09,김장김치,조식
2021-02-09,우유,조식
2021-02-10,밥,조식
2021-02-10,쇠고기감자국,조식
2021-02-10,햄슬라이스야채볶음,조식
2021-02-10,계란찜,조식
2021-02-10,김장김치,조식
2021-02-10,우유,조식
2021-02-11,밥,조식
2021-02-11,감자양파찌개,조식
2021-02-11,돼지고기김치볶음,조식
2021-02-11,맛김,조식
2021-02-11,가공우유 바나나,조식
2021-02-11,깍두기,조식
2021-02-12,떡만둣국,조식
2021-02-12,오징어채볶음,조식
2021-02-12,김장김치,조식
2021-01-06,밥,조식
2021-01-06,생선묵국,조식
2021-01-06,두부김치,조식
2021-01-06,계란찜,조식
2021-01-06,과일2,조식
2022-08-21,깍두기,조식
2022-08-21,우유,조식
2022-08-22,밥,조식
2022-08-22,왕만두국,조식
2022-08-22,맛김,조식
2022-08-22,메추리알장조림,조식
2022-08-22,오징어젓무침,조식
2022-08-22,배추김치,조식
2022-08-22,우유,조식
2022-08-23,밥,조식
2022-08-23,쑥갓어묵국,조식
2022-08-23,햄슬라이스야채볶음,조식
2022-08-23,맛김,조식
2022-08-23,오징어채무침,조식
2022-08-23,컵시리얼,조식
2022-08-23,배추김치,조식
2022-08-24,밥,조식
2022-08-24,조갯살미역국,조식
2022-08-24,돼지고기김치볶음,조식
2022-08-24,김자반,조식
2022-08-24,찐새우만두,조식
2022-08-24,깍두기,조식
2022-08-24,우유,조식
2022-08-25,밥,조식
2022-08-25,감자수제비,조식
2022-08-25,볼어묵볶음,조식
2022-08-25,베이컨조랭이떡볶음,조식
2022-08-25,배추김치,조식
2022-08-25,사인머스켓,조식
2022-08-26,밥,조식
2022-08-26,누룽지삼계탕,조식
2022-08-26,계란찜,조식
2022-08-26,무말랭이무침,조식
2022-08-26,배추김치,조식
2022-08-26,우유,조식
2022-08-27,어니언베이글,조식
2022-08-27,컵시리얼,조식
2022-08-27,브리또,조식
2022-08-27,블루베리잼,조식
2022-08-27,크림치즈,조식
2022-08-27,자연은 제주감귤 180ml,조식
2022-08-27,우유,조식
2022-08-28,밥,조식
2022-08-28,사골우거지국,조식
2022-08-28,돼지고기청경채볶음,조식
2022-08-28,연두부양념장,조식
2022-08-28,배추김치,조식
2022-08-28,우유,조식
2022-08-29,쇠고기덮밥,조식
2022-08-29,감자계란국,조식
2022-08-29,메추리알장조림,조식
2022-08-29,가공우유,조식
2022-08-29,배추김치,조식
2022-08-30,쇠고기무국,조식
2022-08-30,비엔나소시지케찹볶음,조식
2022-08-30,맛김,조식
2022-08-30,돼지고기장조림,조식
2022-08-30,배추김치,조식
2022-08-30,사인머스켓,조식
2022-08-31,밥,조식
2022-08-31,감자수제비,조식
2022-08-31,돼지고기김치볶음,조식
2022-08-31,무말랭이무침,조식
2022-08-31,배추김치,조식
2022-08-31,우유,조식
2022-09-01,밥,조식
2022-09-01,쑥갓어묵국,조식
2022-09-01,햄슬라이스야채볶음,조식
2022-09-01,맛김,조식
2022-09-01,연두부양념장,조식
2022-09-01,배추김치,조식
2022-09-02,밥,조식
2022-09-02,쇠고기무국,조식
2022-09-02,베이컨조랭이떡볶음,조식
2022-09-02,계란찜,조식
2022-09-02,배추김치,조식
2022-09-03,햄치즈버거,조식
2021-01-15,밥,조식
2021-01-15,두부맑은국,조식
2021-01-15,햄슬라이스야채볶음,조식
2021-01-15,맛김,조식
2021-01-15,김장김치,조식
2021-01-15,우유,조식
2021-01-16,떡만둣국,조식
2021-01-16,오징어젓무침,조식
2021-01-16,김장김치,조식
2021-01-16,우유,조식
2021-01-17,밥,조식
2021-01-17,콩나물국,조식
2021-01-11,오징어채볶음,조식
2021-01-11,김장김치,조식
2021-01-11,우유,조식
2021-01-12,밥,조식
2021-01-12,오징어국,조식
2021-01-12,비엔나소시지케찹볶음,조식
2021-01-12,콩나물무침,조식
2021-01-12,깍두기,조식
2021-01-12,우유,조식
2021-01-13,밥,조식
2021-01-13,쇠고기감자국,조식
2021-01-13,두부김치,조식
2021-01-13,맛김,조식
2021-01-13,깍두기,조식
2021-01-13,우유,조식
2021-01-13,코코아 음료 분말,조식
2021-01-14,불고기버거,조식
2021-01-06,백김치,조식
2021-01-07,밥,조식
2021-01-07,콩나물국,조식
2021-01-07,생선묵볶음,조식
2021-01-07,두부조림,조식
2021-01-07,김장김치,조식
2021-01-07,우유 살균형,조식
2021-01-08,쇠고기국밥,조식
2021-01-08,소시지야채볶음,조식
2021-01-08,감자조림,조식
2021-01-08,김장김치,조식
2021-01-08,우유,조식
2021-01-09,핫도그빵,조식
2021-01-09,우유,조식
2021-01-10,닭죽,조식
2021-01-10,오징어젓무침,조식
2021-01-10,김장김치,조식
2021-01-10,우유,조식
2021-01-11,밥,조식
2021-01-11,꼬리곰탕,조식
2021-01-01,떡만둣국,조식
2021-01-01,오징어젓무침,조식
2021-01-01,김장김치,조식
